Valor (UF),Dormitorios,Banos,sup. construida,sup. Terreno,estacion metro
11.38,3,2,60,,"6,264"
11.77,2,2,55,,"6,255"
11.77,3,2,75,,"7,901"
18.01,4,3,140,,"7,590"
11.77,3,2,62,,"6,255"
13.02,3,2,70,,"7,162"
9.86,3,1,50,50,"8,937"
9.07,2,1,54,,"8,233"
10.65,3,2,,,"8,233"
9.27,3,1,50,,"7,943"
11.91,3,1,,,"7,943"
9.02,2,2,65,103,"6,516"
10.98,2,1,60,80,"9,755"
11.77,3,3,,,"10,676"
11.77,2,1,47,120,"1,713"
39.22,6,2,212,913,"8,114"
11.77,3,1,54,98,"5,426"
19.72,3,3,84,169,"10,131"
11.83,3,1,60,140,"8,057"
17.75,4,3,107,178,"9,475"
11.83,3,1,,,"5,136"
18.46,5,2,,112,"8,088"
21.83,5,3,160,300,"8,000"
11.91,5,2,115,117,"8,088"
11.91,3,2,,,"10,347"
16.87,3,3,92,180,"20,550"
14.51,3,2,,,"23,459"
11.57,3,2,50,90,"19,899"
14.99,3,3,,,"21,054"
13.67,3,2,,110,"21,258"
9.86,2,2,,,"20,550"
47.33,5,4,,270,"20,550"
65,4,3,,240,"17,286"
15.87,3,2,75,,"20,286"
15.08,3,3,115,,"20,550"
15.87,3,3,81,,"20,286"
13.73,4,2,110,,"1,651,554"
6.75,1,1,,,"1,650,448"
11.91,2,1,65,,"1,651,906"
9.81,2,1,,,"1,656,378"
18.83,3,2,,,"1,649,194"
11.83,3,2,,60,"1,650,131"
23.81,4,3,180,400,"1,651,138"
11.44,2,2,65,65,"1,454,699"
17.75,3,2,,,"1,452,797"
21.69,3,2,81,,"1,456,541"
13.81,2,2,60,60,"1,456,101"
13.81,3,1,75,75,"1,452,667"
17.86,3,2,76,76,"1,452,667"
26.99,3,2,111,111,"1,452,806"
17.86,3,2,58,58,"1,458,659"
9.92,1,1,50,50,"1,458,866"
19.84,2,2,74,76,"1,457,873"
15.28,3,2,68,68,"1,459,324"
19.05,3,2,100,100,"1,455,996"
15.08,3,2,75,75,"1,453,964"
22.62,4,3,116,116,"1,453,515"
13.67,2,1,,80,"1,457,078"
30.6,5,3,200,220,"1,457,667"
15.69,3,1,,70,"1,455,707"
15.78,3,1,90,,"1,457,667"
27.61,5,3,180,,"1,452,537"
11.83,2,1,55,55,"1,459,249"
27.61,3,2,,135,"1,457,297"
27.78,3,2,75,,"1,457,791"
10.32,2,1,,,"1,455,690"
8.68,2,2,,,"1,453,568"
11.04,3,1,60,,"1,452,882"
9.92,2,1,65,65,"1,452,849"
11.91,3,2,,,"1,452,759"
13.02,3,2,,,"1,452,752"
12.7,2,1,50,84,"1,452,489"
19.84,2,1,,,"1,453,280"
22.26,3,2,120,,"1,077,368"
19.53,2,2,,,"1,075,739"
22.65,3,2,75,,"1,084,630"
16.08,3,1,63,,"1,091,623"
25.5,3,2,109,,"1,078,712"
25.5,4,2,,,"1,074,070"
17.65,2,1,,,"1,073,615"
19.22,3,2,78,,"1,089,010"
21.57,2,1,,,"1,077,719"
14.51,1,1,,,"1,084,668"
19.61,3,2,75,,"1,084,668"
22.75,2,2,,,"1,078,379"
27.46,4,3,140,,"1,076,611"
18.05,1,1,,,"1,078,205"
23.53,3,2,,,"1,087,999"
19.61,2,2,,,"1,076,867"
15.3,3,1,,,"1,089,750"
16.47,2,2,,,"1,084,691"
15.69,3,1,65,,"1,088,337"
14.12,2,1,56,,"1,089,750"
13.92,3,1,50,,"1,074,740"
21.57,2,2,,,"1,075,739"
15.3,3,1,,,"1,089,559"
21.97,3,2,,,"1,084,934"
17.65,3,2,,,"1,089,550"
16.87,2,2,,,"1,084,668"
19.61,2,2,,,"1,073,491"
18.44,2,1,,,"1,077,986"
24.32,4,3,100,,"1,087,568"
20,2,1,,,"1,078,182"
14.91,3,1,62,,"1,088,337"
14.91,2,1,,,"1,080,972"
18.83,3,2,,,"1,087,500"
19.61,2,2,,,"1,073,491"
25.5,3,2,,,"1,073,491"
19.61,3,2,89,,"1,080,851"
20.4,3,1,,,"1,087,980"
14.91,3,1,59,,"1,088,246"
12.94,1,1,,,"1,084,691"
15.69,2,1,,,"1,079,091"
12.55,1,1,,,"1,084,668"
164.74,2,2,,,"1,084,668"
12.16,1,1,,,"1,087,980"
15.38,3,1,,,"1,091,597"
21.69,3,2,83,,"1,087,554"
14.99,3,1,,,"1,089,750"
19.72,2,2,,,"1,073,491"
31.95,4,3,,,"1,076,611"
24.85,3,2,,,"1,087,999"
15.78,2,2,,,"1,080,469"
25.64,3,2,,,"1,087,999"
13.81,3,1,,,"1,084,939"
18.54,3,2,,,"1,084,630"
14.99,3,1,,,"1,089,750"
15.38,3,1,,,"1,089,759"
16.57,3,1,70,,"1,087,980"
25.24,3,2,108,,"1,077,719"
25.64,3,3,110,,"1,076,972"
17.75,3,1,,,"1,084,630"
14.99,3,1,,,"1,089,359"
37.47,4,3,137,,"1,073,740"
15.38,3,1,,,"1,089,750"
23.67,3,2,,,"1,076,060"
15.78,3,1,60,,"1,087,653"
14.2,2,2,,,"1,084,691"
13.81,3,1,,,"1,088,246"
21.03,2,2,,,"1,084,668"
18.26,2,2,,,"1,084,691"
12.94,3,1,,,"664,750"
15.69,2,2,60,60,"667,814"
9.81,3,1,,,"665,600"
9.81,3,1,,,"665,335"
10.39,3,1,,,"665,600"
10.98,3,1,,,"665,935"
9.41,3,1,45,49,"664,910"
10.2,3,1,55,,"664,738"
13.41,3,1,44,,"664,750"
9.27,3,1,51,51,"664,648"
13.81,3,1,54,,"665,210"
9.86,3,1,50,,"664,738"
7.1,3,1,56,,"664,738"
9.47,3,1,56,,"664,738"
9.86,3,1,60,,"665,137"
9.92,2,1,55,,"667,122"
9.92,3,1,49,49,"664,910"
9.92,3,1,55,,"664,738"
10.98,3,1,60,,"668,496"
23.53,5,2,,,"665,013"
13.73,3,1,68,200,"667,277"
27.46,5,2,,,"665,013"
21.69,5,3,170,220,"667,949"
13.81,2,1,,,"667,277"
21.69,5,2,,750,"668,384"
51.59,5,4,220,450,"665,474"
17.65,3,2,89,,"382,883"
9.02,2,1,48,,"384,481"
11.83,3,1,60,,"387,749"
11.44,3,1,75.5,,"383,443"
9.86,2,1,74,,"383,443"
7.94,3,1,,,"384,481"
20.24,3,2,91,,"382,883"
15.08,2,2,68,,"382,883"
15.1,3,2,70,100,"381,573"
14.51,3,2,98.8,192,"381,573"
9.86,2,1,,180,"382,254"
9.66,3,1,,150,"382,667"
11.91,3,2,,180,"385,037"
13.1,3,2,,230,"381,573"
11.51,3,1,,180,"384,445"
13.73,3,2,,,"387,193"
12.94,2,2,49,,"390,340"
13.73,3,1,55,,"391,428"
10.98,3,1,,,"387,573"
27.46,3,2,140,,"387,318"
11.77,3,1,55,,"389,644"
13.73,3,2,64,,"387,193"
14.91,3,2,,,"390,368"
9.81,1,1,,,"390,368"
9.86,3,1,,,"391,428"
12.62,2,2,,,"385,224"
9.86,3,1,,,"390,596"
11.83,2,2,68,,"389,552"
11.83,3,1,,,"390,444"
11.04,3,1,,,"390,477"
11.04,3,1,,,"390,596"
16.96,3,2,,,"387,193"
9.86,3,1,,,"387,554"
16.96,3,2,,,"387,705"
9.86,3,1,54,,"385,125"
31.55,3,4,140,,"387,059"
13.02,2,1,57,,"385,646"
13.89,3,1,,,"385,566"
9.92,3,1,50,,"391,428"
11.91,3,1,55,,"388,571"
10.72,2,1,55,,"390,356"
13.1,2,2,,,"385,646"
9.92,3,1,,,"391,048"
11.51,3,1,,,"390,894"
12.7,2,2,,,"385,224"
17.07,3,2,,,"387,705"
15.87,3,2,62,,"387,705"
15.87,3,2,,,"385,298"
62.76,5,5,,,"384,479"
14.91,3,2,,180,"387,700"
13.73,3,1,,180,"388,551"
11.04,2,2,,170,"389,887"
12.62,2,1,,,"389,887"
13.02,3,1,,200,"385,441"
9.92,3,1,,180,"391,515"
13.89,3,2,,,"387,433"
11.91,3,1,,187,"391,289"
14.45,2,2,70,80,"78,653"
6.67,3,,50,,"75,430"
11.77,2,1,,,"78,717"
10.2,3,2,66,70,"81,546"
10.98,3,2,65,65,"81,546"
10.2,2,2,70,73,"82,782"
11.77,3,2,67,67,"81,546"
11.77,3,2,62,,"81,546"
14.12,3,2,,,"75,699"
10.98,3,,,,"82,475"
9.81,3,2,67,67,"76,993"
9.41,3,2,62,,"75,975"
10.2,2,1,50,50,"82,782"
12.62,3,1,60,,"82,475"
10.26,2,2,52,52,"75,602"
14.99,3,2,73,78,"79,441"
9.07,2,1,70,,"82,782"
9.86,2,2,56,,"73,941"
12.23,3,2,70,72,"82,782"
10.65,3,2,60,,"81,546"
9.86,3,2,72,72,"77,470"
7.3,3,1,57,57,"76,595"
12.23,3,2,70,,"82,782"
10.26,3,2,,,"81,546"
10.65,3,1,57,,"82,475"
10.65,3,2,,,"81,546"
10.65,3,2,,,"81,546"
9.47,2,1,70,,"82,782"
12.62,2,2,63,63,"79,441"
11.83,3,2,90,,"82,475"
11.83,3,1,65,,"82,475"
10.32,3,2,60,,"81,546"
9.52,3,,,,"81,546"
10.32,3,2,,,"81,546"
12.7,2,2,59,62,"79,441"
11.11,3,2,63,,"76,938"
7.94,2,2,58,58,"73,941"
9.52,3,2,,,"81,546"
11.91,2,2,70,70,"78,656"
15.08,3,2,75,,"78,258"
10.52,3,1,52,,"79,393"
11.51,3,2,70,,"82,460"
14.84,3,2,110,150,"77,244"
15.69,3,3,85,100,"73,244"
9.81,2,2,80,600,"79,856"
10.59,3,1,78,150,"76,136"
15.78,3,1,80,120,"80,611"
9.07,3,1,65,130,"75,924"
5.92,2,1,45,75,"78,731"
11.04,3,2,62,200,"77,341"
5.92,,,,,"81,176"
7.3,4,1,,,"75,511"
16.57,3,3,110,200,"75,130"
11.83,3,2,90,100,"75,693"
13.81,3,3,135,300,"78,782"
9.13,3,1,75,250,"80,017"
7.14,2,1,,,"80,659"
16.67,4,2,,200,"79,222"
13.89,4,2,100,190,"77,479"
16.67,3,3,98,120,"82,460"
7.94,3,2,,,"80,659"
23.01,4,4,120,200,"78,067"
10.59,3,2,,,"73,313"
15.69,3,2,120,120,"72,177"
11.77,3,2,,,"73,313"
15.38,3,3,115,,"74,833"
13.81,3,2,100,,"74,363"
9.92,2,2,50,200,"73,669"
13.34,3,3,,,"72,843"
13.73,4,2,100,200,"74,363"
10.2,3,1,,,"63,943"
8.24,2,1,45,45,"63,943"
8.24,1,1,45,45,"64,396"
7.84,3,1,48,48,"60,792"
8.63,3,2,,,"60,727"
12.55,2,2,76,76,"65,441"
23.53,4,4,155,,"65,687"
16.47,2,2,,,"64,065"
9.02,3,1,56,,"60,674"
7.06,1,1,,,"63,812"
9.41,3,1,46,,"60,674"
9.86,2,2,55,55,"60,627"
9.47,3,1,,,"60,674"
7.49,3,1,50,50,"60,602"
13.81,3,2,,,"64,023"
9.86,3,1,45,45,"60,674"
11.04,2,2,70,,"64,446"
12.62,4,2,,,"63,956"
12.62,2,2,,,"64,515"
11.83,2,1,,,"64,641"
8.28,2,1,,,"64,045"
19.72,3,2,128,,"65,469"
19.72,3,2,,,"65,687"
8.68,3,1,45,46,"64,019"
11.83,2,2,60,,"64,641"
7.1,2,1,50,50,"62,496"
12.62,2,2,60,,"64,065"
12.82,2,2,62,,"64,641"
16.17,3,2,75,,"64,065"
8.68,1,1,,,"63,974"
7.74,1,1,50,54,"64,753"
10.32,2,1,,,"63,974"
10.72,2,2,65,,"64,641"
9.13,3,1,52,,"64,019"
9.92,2,1,,,"64,023"
9.13,3,1,45,45,"64,019"
8.73,3,1,50,52,"64,065"
13.89,2,2,62,,"63,943"
7.14,3,1,,,"62,453"
8.73,3,1,,,"63,943"
11.51,2,1,75,,"64,346"
10.32,3,1,48,52,"64,065"
10.32,1,1,55,,"63,968"
8.73,3,2,,,"63,656"
11.91,4,2,100,,"64,017"
7.14,1,1,47,,"64,311"
13.89,3,2,65,,"64,065"
8.63,3,,,,"60,467"
7.84,3,1,,,"59,394"
24.32,3,2,120,450,"65,168"
18.83,3,2,130,290,"62,344"
17.96,4,3,110,320,"65,982"
15.69,4,3,100,200,"62,344"
25.5,3,3,150,450,"64,886"
27.46,4,3,125,400,"64,792"
9.86,4,2,,,"65,207"
7.89,3,2,58,,"65,160"
9.47,3,2,80,,"65,266"
21.83,3,2,140,500,"66,024"
29.76,5,3,150,400,"63,889"
9.92,3,2,81,150,"64,065"
9.92,2,1,,,"65,154"
15.23,4,4,125,243,"64,504"
15.69,3,3,115,220,"63,690"
21.69,3,2,127,334,"63,967"
17.75,3,3,100,220,"63,358"
13.02,3,2,,100,"62,108"
11.83,3,2,75,120,"63,690"
10.72,3,1,,,"64,408"
31.75,4,4,184,925,"62,727"
7.14,3,1,47,,"63,690"
13.89,3,3,120,150,"63,690"
21.57,2,2,98,,"224,021"
13.73,1,1,50,,"224,021"
7.84,2,1,63,,"225,425"
9.81,2,2,60,,"225,228"
6.47,2,1,53,53,"226,513"
9.86,3,2,70,76,"224,025"
10.26,1,1,35,,"225,733"
5.52,2,1,40,40,"226,350"
9.47,2,1,47,50,"225,294"
11.83,3,2,61,,"224,520"
11.44,3,2,61,,"224,520"
8.28,1,1,36,,"225,050"
7.89,2,1,56,,"224,203"
7.1,1,1,45,,"225,050"
14.99,3,2,,,"224,080"
9.13,2,2,60,,"225,050"
7.14,1,1,30,,"225,055"
11.51,2,2,70,,"224,494"
7.94,3,1,56,56,"225,206"
9.52,2,1,55,55,"224,520"
7.84,2,1,,,"221,883"
7.06,4,1,70,,"221,883"
10.98,3,2,75,200,"223,460"
8.63,3,2,,,"221,690"
7.1,4,1,68,,"221,883"
9.86,4,2,,,"228,361"
7.49,4,1,,,"221,842"
10.26,4,2,,,"221,668"
9.07,2,1,50,200,"227,072"
4.73,2,1,,,"225,575"
29.58,5,3,,335,"224,080"
10.12,3,1,95,110,"225,489"
9.86,4,2,81,,"228,405"
7.1,3,1,,,"227,615"
11.44,3,1,80,100,"227,615"
7.14,3,1,,,"227,697"
9.92,4,2,,,"221,520"
9.86,1,1,33,,"235,152"
6.67,2,1,54,90,"235,152"
7.1,3,1,,,"227,697"
11.04,3,2,59,62,"432,283"
11.77,4,2,78,131,"430,291"
11.83,3,2,98,150,"430,497"
13.89,3,2,98,150,"430,497"
8.73,2,2,60,,"430,020"
12.75,3,2,60,90,"430,907"
11.72,3,2,78,,"417,324"
7.81,1,1,,,"417,942"
11.72,2,2,,,"419,549"
9.02,1,1,,,"421,106"
11.77,2,2,,,"422,139"
9.81,2,2,,,"423,067"
10.59,2,1,,,"422,139"
9.41,2,1,,,"421,430"
10.2,2,2,85,,"419,586"
8.24,1,1,,,"422,061"
8.24,1,1,,,"420,646"
9.81,3,2,,,"419,586"
10.59,2,2,,,"421,622"
11.77,3,2,,,"420,016"
9.41,1,1,,,"419,549"
7.45,1,1,,,"421,865"
9.81,1,1,,,"421,518"
6.67,1,1,,,"422,248"
10.59,2,2,,,"422,139"
10.59,2,1,,,"420,937"
9.81,3,2,,,"418,539"
9.02,1,1,,,"422,981"
9.81,1,1,,,"422,204"
9.81,2,1,,,"420,844"
9.81,2,1,30,,"420,780"
9.41,1,1,33,,"422,277"
13.73,2,1,66,,"422,981"
13.73,3,2,78,,"421,133"
9.02,1,1,,,"421,106"
9.81,3,2,56,,"420,422"
10.98,2,2,,,"422,139"
8.63,1,1,,,"421,222"
8.63,1,1,,,"421,865"
9.81,1,1,,,"421,505"
12.94,2,1,,,"422,036"
11.77,3,2,,,"420,016"
6.67,1,1,,,"422,248"
8.32,1,1,,,"423,112"
7.84,1,1,,,"422,971"
12.55,2,1,,,"421,020"
11.77,2,2,,,"421,921"
9.02,1,1,,,"422,139"
9.02,1,1,33,,"422,500"
9.22,2,1,,,"420,780"
10.59,2,2,,,"422,139"
8.63,2,2,,,"422,278"
9.02,2,2,,,"422,833"
11.77,2,2,75,,"421,274"
16.47,3,2,,,"422,252"
11.38,2,2,,,"420,762"
9.81,2,1,,,"420,422"
11.77,2,2,,,"422,981"
9.02,1,1,,,"422,886"
9.02,2,1,,,"422,201"
9.81,1,1,33,,"422,014"
7.84,3,2,,,"439,269"
7.94,2,2,75,190,"446,019"
10.2,,,,,"420,844"
10.26,2,1,54,54,"420,528"
10.52,3,1,57,,"421,522"
9.52,2,2,64,,"420,001"
6.71,1,1,,,"421,522"
9.47,3,1,,,"419,189"
9.92,2,1,73,,"422,552"
5.1,3,1,,,"452,287"
11.83,3,2,100,450,"412,608"
7.06,3,1,54,,"428,305"
9.81,3,1,,,"428,820"
11.38,3,,62,,"426,931"
9.81,3,,,,"426,346"
13.73,3,2,68,,"426,806"
10.98,2,2,,,"426,931"
7.84,2,,,,"425,907"
7.06,2,1,60,,"429,115"
11.38,2,2,70,,"426,931"
10.59,2,2,75,75,"432,630"
11.77,2,2,61,,"425,126"
9.02,3,2,,,"425,108"
13.73,3,2,68,68,"427,116"
7.84,2,1,60,60,"426,193"
13.73,3,2,68,,"426,806"
11.83,2,2,54,,"425,126"
7.89,2,1,45,47,"432,261"
7.49,3,1,54,,"428,305"
6.71,2,,,,"428,820"
13.81,2,2,70,,"427,671"
10.65,2,2,63,,"425,833"
16.96,3,2,92,92,"426,177"
13.41,2,2,61,,"425,126"
13.41,2,2,51,,"425,126"
7.1,3,1,50,,"432,179"
17.75,3,2,110,110,"426,852"
12.62,2,2,72,,"427,031"
11.83,2,2,72,72,"427,330"
7.1,3,1,,,"432,028"
8.28,2,1,,,"426,511"
7.14,3,2,,,"428,820"
7.14,3,,,,"428,820"
6.35,2,1,56,,"428,639"
12.7,3,2,,,"427,333"
10.52,2,2,58,58,"426,090"
12.7,2,2,63,67,"425,916"
9.96,2,2,,,"425,763"
6.78,3,,,,"428,820"
9.81,3,,,,"425,852"
13.73,4,3,108,180,"425,826"
7.06,3,1,54,100,"432,753"
7.06,2,1,55,100,"433,669"
12.62,3,3,102,,"432,524"
11.04,3,1,87,330,"428,461"
9.66,3,2,,,"431,970"
13.81,4,4,116,250,"421,505"
9.92,3,3,,,"426,790"
9.81,3,1,58,,"417,892"
10,3,1,58,,"419,505"
11.24,3,2,70,,"418,159"
10.26,2,2,64,,"419,991"
13.89,2,1,52,,"419,575"
16.47,4,3,115,,"419,433"
13.89,3,2,61,61,"416,150"
9.96,3,2,,,"418,045"
11.38,3,2,70,200,"416,765"
10.59,3,2,75,200,"416,562"
14.91,3,2,95,,"416,913"
8.28,3,2,60,80,"422,502"
17.75,3,2,70,120,"418,284"
8.28,2,1,60,80,"417,106"
11.04,3,2,62,130,"416,913"
3.52,1,1,,,"599,723"
10.04,1,1,42,,"597,600"
11.77,3,2,80,,"598,045"
9.41,1,1,40,,"597,223"
11.77,3,2,,,"597,038"
9.81,3,2,,,"597,828"
9.22,1,1,45,49,"597,049"
12.36,2,2,68,72,"597,985"
7.45,1,1,24,,"598,197"
9.02,2,1,46,,"592,703"
13.73,2,2,77,,"597,142"
12.82,2,2,67,70,"597,944"
10.85,1,1,42,45,"597,490"
11.04,3,1,52,52,"596,994"
9.07,3,1,50,,"596,554"
8.68,3,1,46,,"596,386"
9.47,3,2,61,,"598,045"
8.28,1,1,27,27,"598,091"
10.65,1,1,38,38,"597,471"
7.89,2,1,,,"598,212"
12.62,2,2,,,"597,597"
11.51,2,2,,62,"597,162"
10.32,2,1,63,,"597,431"
11.91,2,1,60,,"597,939"
13.49,3,2,87,90,"599,693"
13.89,2,2,70,70,"597,054"
7.94,1,1,33,33,"599,482"
13.89,3,2,80,,"597,984"
11.91,2,2,70,,"597,354"
9.52,1,1,31,34,"598,081"
11.71,2,2,61,,"597,076"
12.7,2,2,75,81,"597,823"
13.89,3,2,80,84,"597,261"
8.33,2,1,75,,"597,551"
7.94,2,1,,,"597,143"
27.46,4,2,146,310,"599,003"
7.26,3,2,,,"593,982"
15.69,3,2,104,200,"597,177"
11.04,3,3,,,"597,177"
9.86,3,2,,,"597,901"
17.86,5,3,140,220,"599,286"
14.29,3,2,100,240,"599,132"
9.81,2,1,51,,"601,255"
12.65,3,2,67,,"897,235"
9.02,1,1,42,,"896,372"
11.77,3,2,63,,"897,235"
10.2,3,1,50,,"897,235"
9.47,3,1,,,"895,823"
14.99,3,2,74,74,"897,184"
11.91,2,2,70,,"896,731"
11.11,3,2,74,,"898,799"
7.84,3,1,,,"898,891"
13.41,4,4,130,750,"897,235"
5.95,3,1,,,"897,235"
14.68,3,2,130,220,"895,911"
3.97,2,1,,,"898,739"
9.92,3,1,54,180,"897,235"
10.72,3,1,90,120,"896,817"
14.51,,,,,"882,640"
9.57,3,1,,,"729,644"
9.81,3,1,,,"732,270"
21.83,6,2,,400,"728,388"
19.22,3,2,85,85,"1,453,964"
13.81,4,2,,,"387,606"
9.52,1,1,,,"224,516"
10.59,2,1,62,,"1,651,447"
12.36,3,,,,"1,654,488"
10.39,3,,65,,"1,655,012"
11.77,3,1,61,,"1,655,757"
9.41,3,1,70,,"1,655,411"
10.98,2,,,,"1,651,101"
9.02,2,1,,,"1,654,028"
15.69,4,2,110,,"1,650,497"
11.77,3,,,,"1,649,373"
9.81,2,1,,,"1,650,970"
10.98,2,,65,,"1,651,053"
9.86,3,1,60,,"1,648,580"
7.89,2,1,,,"1,651,138"
10.65,2,1,60,,"1,649,294"
15.78,3,2,70,,"1,651,138"
11.77,2,2,,,"1,649,109"
13.73,2,,,,"1,654,662"
13.73,,,,,"1,651,138"
50.99,6,3,350,,"1,650,916"
